,target,model,test_r2,test_mae,test_ece
0,IoU,Constant Mean Predictor,-0.0004,0.1464,0.01880071677944878
1,IoU,Linear Regression,0.3723,0.1151,0.02038497320045136
2,IoU,Decision Tree,0.3496,0.1171,0.015360613976147533
3,IoU,Random Forest,0.4365,0.1089,0.015236018664537578
4,IoU,MLP,0.1821,0.1235,0.04108419616149192
5,IoU,XGBoost,0.4361,0.1078,0.009976283101630429
6,IoU,Autogluon_Tab,0.4588,0.1055,0.012741479512975995
7,LRP,Constant Mean Predictor,-0.0001,0.1351,0.007477974891662631
8,LRP,Linear Regression,0.4183,0.102,0.026585345202695752
9,LRP,Decision Tree,0.3884,0.1054,0.01608746773804948
10,LRP,Random Forest,0.4708,0.0972,0.016755928671210053
11,LRP,MLP,0.3382,0.1066,0.028208331541036098
12,LRP,XGBoost,0.4792,0.0948,0.014176586932549098
13,LRP,Autogluon_Tab,0.4977,0.0932,0.012537645350405148
